Coverage probabilities:

norm
0.2,0.5,1
16,0.872,0.882,0.85
30,0.92,0.892,0.868
60,0.924,0.919,0.872
90,0.937,0.91,0.873
200,0.939,0.923,0.91

basic
0.2,0.5,1
16,0.867,0.87,0.829
30,0.915,0.887,0.846
60,0.921,0.918,0.864
90,0.939,0.906,0.863
200,0.939,0.925,0.905

perc
0.2,0.5,1
16,0.832,0.869,0.832
30,0.899,0.878,0.873
60,0.914,0.917,0.861
90,0.93,0.899,0.877
200,0.931,0.923,0.911

bca
0.2,0.5,1
16,0.882,0.9,0.91
30,0.922,0.909,0.893
60,0.931,0.928,0.906
90,0.946,0.923,0.894
200,0.945,0.924,0.926

student
0.2,0.5,1
16,0.93,0.905,0.891
30,0.939,0.921,0.87
60,0.944,0.94,0.901
90,0.955,0.923,0.901
200,0.945,0.94,0.935

BEL
0.2,0.5,1
16,0.905679513184584,0.99098083427283,0.995215311004785
30,0.984,0.987903225806452,0.942942942942943
60,0.991,0.956,0.923
90,0.968,0.931,0.914
200,0.955,0.934,0.933

