Coverage probabilities:

norm
0.2,0.5,1
16,0.882,0.889,0.852
30,0.91,0.907,0.875
60,0.929,0.884,0.884
90,0.929,0.928,0.895
200,0.938,0.944,0.909

basic
0.2,0.5,1
16,0.873,0.876,0.837
30,0.907,0.9,0.855
60,0.931,0.882,0.873
90,0.93,0.926,0.881
200,0.935,0.946,0.908

perc
0.2,0.5,1
16,0.837,0.858,0.839
30,0.893,0.887,0.863
60,0.919,0.876,0.885
90,0.923,0.921,0.887
200,0.935,0.933,0.912

bca
0.2,0.5,1
16,0.887,0.901,0.891
30,0.917,0.921,0.915
60,0.935,0.902,0.912
90,0.93,0.925,0.902
200,0.938,0.944,0.911

student
0.2,0.5,1
16,0.933,0.918,0.889
30,0.938,0.935,0.881
60,0.945,0.914,0.919
90,0.943,0.939,0.909
200,0.942,0.944,0.92

BEL
0.2,0.5,1
16,0.906598984771574,0.9945295404814,0.996305418719212
30,0.981,0.982880161127895,0.949899799599198
60,0.99,0.939,0.936
90,0.959,0.951,0.926
200,0.949,0.953,0.928

