Coverage probabilities:

norm
0.2,0.5,1
16,0.882,0.823,0.628
30,0.911,0.828,0.664
60,0.929,0.853,0.691
90,0.935,0.878,0.718
200,0.946,0.896,0.776

basic
0.2,0.5,1
16,0.878,0.799,0.592
30,0.9,0.808,0.631
60,0.926,0.844,0.651
90,0.934,0.871,0.696
200,0.944,0.898,0.758

perc
0.2,0.5,1
16,0.825,0.748,0.545
30,0.873,0.784,0.61
60,0.915,0.823,0.627
90,0.928,0.853,0.685
200,0.936,0.881,0.746

bca
0.2,0.5,1
16,0.885,0.849,0.653
30,0.919,0.845,0.693
60,0.932,0.874,0.721
90,0.94,0.888,0.75
200,0.946,0.907,0.81

student
0.2,0.5,1
16,0.941,0.89,0.693
30,0.941,0.876,0.715
60,0.944,0.894,0.777
90,0.95,0.908,0.812
200,0.948,0.926,0.859

BEL
0.2,0.5,1
16,0.896865520728008,0.987903225806452,0.967479674796748
30,0.976976976976977,0.972,0.767801857585139
60,0.99,0.906,0.758517034068136
90,0.966,0.914,0.771771771771772
200,0.959,0.911,0.80561122244489

