Skew matrix:

norm
0.2,0.5,1
16,3.12903225806452,2.27777777777778,7.33333333333333
30,1.96296296296296,3.32,3.71428571428571
60,2.45454545454545,2.24,5.4
90,1.86363636363636,2.46153846153846,3.88461538461538
200,1.17857142857143,2.85,3.5

basic
0.2,0.5,1
16,2.24390243902439,1.6,5.57692307692308
30,1.93103448275862,2.89655172413793,2.94871794871795
60,2.16,2.41666666666667,4.44
90,1.77272727272727,2.61538461538462,3.89285714285714
200,1.54166666666667,2.75,3.75

perc
0.2,0.5,1
16,167,42.6666666666667,NA
30,10.2222222222222,23.4,41.3333333333333
60,6.81818181818182,8.22222222222222,18.8571428571429
90,4.83333333333333,5.73333333333333,23.6
200,2.63157894736842,5.41666666666667,7.9

bca
0.2,0.5,1
16,2.47058823529412,2.2258064516129,3.09090909090909
30,1.22857142857143,1.93548387096774,2.82142857142857
60,1.15625,1.25,3.94736842105263
90,1.07692307692308,1.56666666666667,3.07692307692308
200,0.71875,1.23529411764706,1.55172413793103

student
0.2,0.5,1
16,1,0.610169491525424,0.626865671641791
30,0.967741935483871,1.02564102564103,1.24137931034483
60,1,1,2.41379310344828
90,1.04545454545455,1.48387096774194,2.3
200,0.71875,1.5,1.40740740740741

BEL
0.2,0.5,1
16,NA,7,NA
30,15,1,56
60,0.125,3.88888888888889,10
90,1.46153846153846,2.83333333333333,16.2
200,1.36842105263158,3.4,5.7

