Skew matrix:

norm
0.2,0.5,1
16,3.37037037037037,2.58064516129032,5.16666666666667
30,2.46153846153846,3.22727272727273,3.62962962962963
60,2.55,2.86666666666667,4.04347826086957
90,1.62962962962963,2.78947368421053,5.5625
200,0.9375,2.73333333333333,3.33333333333333

basic
0.2,0.5,1
16,2.34210526315789,1.69565217391304,5.03703703703704
30,2.20689655172414,2.44827586206897,3.39393939393939
60,3.05882352941176,2.93333333333333,3.37931034482759
90,1.69230769230769,2.89473684210526,4.95
200,1.03125,3.15384615384615,4.11111111111111

perc
0.2,0.5,1
16,31.6,70,NA
30,14.2857142857143,15.1428571428571,44.6666666666667
60,12.5,10.2727272727273,27.75
90,4.5,10.2857142857143,21.6
200,1.5,4.58333333333333,7

bca
0.2,0.5,1
16,2.76666666666667,1.91176470588235,3.54166666666667
30,1.67741935483871,2.16,2.86363636363636
60,1.6,1.57894736842105,2.82608695652174
90,0.944444444444444,1.41935483870968,2.92
200,0.55,1.24,1.6969696969697

student
0.2,0.5,1
16,1.03030303030303,0.547169811320755,0.681818181818182
30,1.2962962962963,1.5,0.859375
60,1.29166666666667,1.20512820512821,1.7
90,0.96551724137931,1.65217391304348,3.13636363636364
200,0.567567567567568,1.15384615384615,1.96296296296296

BEL
0.2,0.5,1
16,45,4,NA
30,NA,3.25,24
60,0,4.54545454545455,15
90,1.5625,6,13.8
200,0.821428571428571,2.91666666666667,7

