Skew matrix:

norm
0.2,0.5,1
16,3.91666666666667,5.10344827586207,11.8275862068966
30,3.68421052631579,4.54838709677419,10.5862068965517
60,1.84,6,11.875
90,1.95454545454545,3.51851851851852,15.5882352941176
200,3.5,5.5,21.4

basic
0.2,0.5,1
16,2.6969696969697,2.72222222222222,5.375
30,2.57142857142857,2.91836734693878,4.27142857142857
60,1.96,4.57142857142857,4.91525423728814
90,2.14285714285714,3.03125,5.33333333333333
200,4.09090909090909,5.8,7.64285714285714

perc
0.2,0.5,1
16,86.5,251,NA
30,41.3333333333333,53,NA
60,8.44444444444444,43.25,185.5
90,8,15.3333333333333,156.5
200,6.11111111111111,12.2222222222222,253

bca
0.2,0.5,1
16,3.79166666666667,9.78571428571429,16.35
30,1.89285714285714,4.74074074074074,17.0588235294118
60,1,3.84615384615385,18.9285714285714
90,1.5,2.5,24
200,1.34782608695652,2.57692307692308,20.1111111111111

student
0.2,0.5,1
16,1.36,1.34042553191489,2.48863636363636
30,1.56521739130435,3,3.19117647058824
60,0.866666666666667,3.81818181818182,5.75757575757576
90,1.27272727272727,2.28571428571429,11.5333333333333
200,1.6,2.89473684210526,19.1428571428571

BEL
0.2,0.5,1
16,101,11,NA
30,22,27,NA
60,1,22.5,NA
90,3.85714285714286,16.2,227
200,4.125,11.7142857142857,193

