Coverage probabilities:

norm
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8952,0.891,0.8915,0.8811,0.8756,0.8543,0.8481,0.8669,0.8681
30_30,0.9154,0.9081,0.8902,0.9011,0.9048,0.867,0.8632,0.8809,0.8752
60_60,0.931,0.9267,0.9001,0.9217,0.9138,0.8843,0.8815,0.8956,0.8896
90_90,0.9403,0.9318,0.9111,0.9249,0.9237,0.8926,0.8888,0.9126,0.9061
200_200,0.9408,0.9344,0.9248,0.9346,0.9331,0.9074,0.9076,0.9218,0.9195
30_60,0.9236,0.9131,0.8889,0.9209,0.9034,0.8825,0.8638,0.8965,0.8724
60_30,0.9202,0.9136,0.8959,0.904,0.9207,0.8707,0.8856,0.8733,0.8992
30_90,0.92,0.9135,0.8886,0.9274,0.8996,0.893,0.8596,0.9076,0.8746
90_30,0.9223,0.9111,0.8948,0.9027,0.9283,0.8637,0.8974,0.8739,0.9032
30_200,0.9115,0.9095,0.8858,0.9286,0.9015,0.9123,0.8693,0.9211,0.8711
200_30,0.9137,0.9089,0.8831,0.8949,0.9274,0.8663,0.9157,0.8698,0.92
16_30,0.9063,0.9017,0.883,0.9026,0.881,0.8712,0.855,0.8762,0.8615
30_16,0.9001,0.9016,0.8837,0.8875,0.9014,0.849,0.8727,0.8598,0.8791
16_60,0.8989,0.8918,0.8855,0.9115,0.885,0.8807,0.8489,0.8936,0.8515
60_16,0.894,0.8995,0.879,0.8805,0.9135,0.8524,0.8827,0.8591,0.8966
16_90,0.8988,0.8959,0.8826,0.9219,0.8836,0.8954,0.8487,0.9052,0.8595
90_16,0.896,0.8961,0.8756,0.8799,0.9201,0.8544,0.8932,0.8573,0.8987
16_200,0.8884,0.8868,0.8653,0.9188,0.878,0.9118,0.8467,0.9058,0.8616
200_16,0.8918,0.8933,0.8732,0.8769,0.9144,0.8547,0.9104,0.8517,0.9115

basic
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8875,0.8788,0.89,0.8696,0.8649,0.8323,0.8306,0.8538,0.8561
30_30,0.9133,0.9051,0.884,0.895,0.8974,0.852,0.8463,0.8693,0.8652
60_60,0.931,0.9261,0.8957,0.9203,0.9113,0.8725,0.8715,0.8877,0.8811
90_90,0.9412,0.9328,0.9078,0.9234,0.9224,0.8851,0.879,0.9077,0.9002
200_200,0.9428,0.9372,0.9262,0.9352,0.9327,0.9037,0.9052,0.9198,0.9178
30_60,0.9235,0.9082,0.8819,0.9192,0.8987,0.8728,0.846,0.8887,0.8574
