Coverage probabilities:

norm
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8922,0.898,0.8862,0.885,0.8806,0.8506,0.8542,0.8679,0.8672
30_30,0.9203,0.9071,0.8961,0.902,0.9026,0.8687,0.8686,0.881,0.8819
60_60,0.93,0.9224,0.9101,0.9261,0.9124,0.8861,0.8808,0.8988,0.8908
90_90,0.9381,0.9255,0.915,0.9284,0.9235,0.8903,0.8932,0.9049,0.9048
200_200,0.9403,0.9343,0.9286,0.9385,0.9359,0.907,0.913,0.9165,0.9147
30_60,0.9234,0.9111,0.8907,0.9186,0.9015,0.8875,0.8695,0.9028,0.878
60_30,0.9223,0.9171,0.8965,0.8995,0.9242,0.8667,0.8835,0.877,0.8963
30_90,0.9184,0.9177,0.8942,0.9228,0.9031,0.8939,0.8648,0.9052,0.8713
90_30,0.9203,0.9105,0.8906,0.8958,0.9255,0.8626,0.8927,0.8785,0.9089
30_200,0.9134,0.9088,0.8879,0.9299,0.8966,0.914,0.8688,0.9214,0.8625
200_30,0.918,0.907,0.8829,0.8944,0.9304,0.8623,0.9145,0.8726,0.9163
16_30,0.8994,0.8987,0.8868,0.9,0.8848,0.8661,0.8621,0.8782,0.8608
30_16,0.9059,0.8987,0.8875,0.8796,0.9012,0.8554,0.8684,0.8645,0.8858
16_60,0.8971,0.8979,0.8832,0.9141,0.8823,0.8865,0.8638,0.8976,0.8551
60_16,0.8993,0.8996,0.8845,0.8799,0.9113,0.8518,0.8875,0.8597,0.899
16_90,0.8963,0.8931,0.8758,0.9184,0.8824,0.8935,0.8516,0.8992,0.86
90_16,0.8955,0.8932,0.881,0.8786,0.9134,0.8488,0.8941,0.8614,0.9016
16_200,0.8887,0.8974,0.8711,0.9166,0.8759,0.9057,0.8517,0.9078,0.858
200_16,0.8887,0.8858,0.864,0.8802,0.9138,0.8457,0.9083,0.8574,0.9074

basic
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8847,0.8867,0.8795,0.8749,0.8706,0.8326,0.838,0.8547,0.8517
30_30,0.9197,0.9011,0.8895,0.8957,0.8974,0.8521,0.8514,0.8675,0.8689
60_60,0.9314,0.9225,0.905,0.924,0.91,0.8751,0.8688,0.8891,0.8829
90_90,0.9387,0.9271,0.9123,0.9276,0.923,0.8807,0.8821,0.8993,0.9005
200_200,0.9421,0.9361,0.9302,0.9386,0.9356,0.9032,0.9085,0.9138,0.9127
30_60,0.9231,0.908,0.8822,0.9165,0.8942,0.8733,0.8519,0.8972,0.8603
60_30,0.9211,0.9138,0.8889,0.8942,0.922,0.8451,0.8741,0.8607,0.8891
30_90,0.9172,0.9145,0.8876,0.9215,0.898,0.8862,0.8472,0.9006,0.8551
90_30,0.9206,0.9075,0.8813,0.8899,0.9241,0.844,0.8837,0.8631,0.9034
30_200,0.9121,0.9033,0.877,0.931,0.8914,0.9103,0.8507,0.9192,0.8406
200_30,0.9169,0.9028,0.8713,0.8879,0.9299,0.8441,0.912,0.857,0.9133
16_30,0.8953,0.8896,0.879,0.893,0.8762,0.8474,0.8378,0.8662,0.8423
30_16,0.9019,0.8899,0.8818,0.8687,0.8944,0.8383,0.8539,0.8489,0.8735
16_60,0.8948,0.8887,0.8766,0.9095,0.8731,0.8767,0.8425,0.8869,0.8372
60_16,0.8961,0.8914,0.873,0.8681,0.908,0.8326,0.8762,0.8421,0.8896
16_90,0.8915,0.8852,0.8639,0.9169,0.8718,0.8877,0.8314,0.8936,0.8445
90_16,0.8919,0.8835,0.8699,0.8673,0.9121,0.8304,0.886,0.842,0.8935
16_200,0.8845,0.8894,0.8578,0.9121,0.8673,0.9035,0.8297,0.9007,0.8384
200_16,0.887,0.8772,0.85,0.872,0.9095,0.8245,0.9045,0.8376,0.8994

perc
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.9266,0.9424,0.9605,0.8909,0.887,0.8558,0.8569,0.906,0.902
30_30,0.9368,0.9329,0.9452,0.9089,0.9078,0.8698,0.8741,0.9079,0.9098
60_60,0.9374,0.9379,0.9429,0.9275,0.9194,0.8906,0.8852,0.9136,0.91
90_90,0.9411,0.9358,0.9402,0.9305,0.9277,0.8933,0.8944,0.9171,0.916
200_200,0.9428,0.9412,0.9418,0.9374,0.9365,0.907,0.9133,0.9221,0.9202
30_60,0.9308,0.9274,0.9311,0.9308,0.8965,0.8986,0.8647,0.9318,0.8888
60_30,0.9311,0.9309,0.9364,0.8969,0.9334,0.8669,0.8966,0.8883,0.9268
30_90,0.92,0.9228,0.9231,0.9361,0.8943,0.9081,0.8613,0.9335,0.8774
90_30,0.9205,0.9182,0.9204,0.8882,0.9388,0.8584,0.9078,0.8865,0.9368
30_200,0.9066,0.9068,0.9,0.9367,0.8831,0.9283,0.8646,0.9381,0.8577
200_30,0.9094,0.908,0.8956,0.8798,0.9398,0.857,0.9273,0.8692,0.9346
16_30,0.918,0.9298,0.9419,0.9208,0.8706,0.8859,0.8554,0.9282,0.8806
30_16,0.9201,0.9267,0.9414,0.869,0.9236,0.8459,0.8877,0.8774,0.9344
16_60,0.8946,0.9047,0.918,0.9357,0.8607,0.9072,0.8479,0.9405,0.8552
60_16,0.8935,0.9033,0.917,0.8605,0.9348,0.8419,0.9114,0.8586,0.94
16_90,0.8784,0.8915,0.8968,0.939,0.8551,0.9176,0.8426,0.9343,0.8545
90_16,0.8806,0.8849,0.9031,0.8533,0.9332,0.8427,0.9211,0.8607,0.9353
16_200,0.8612,0.8725,0.8726,0.9199,0.8484,0.9276,0.8377,0.9229,0.8444
200_16,0.8609,0.8651,0.8664,0.8482,0.9135,0.8323,0.9321,0.8509,0.9241

bca
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8904,0.9028,0.8929,0.8919,0.8876,0.8932,0.896,0.8895,0.8854
30_30,0.9122,0.9051,0.8993,0.9079,0.9094,0.898,0.8981,0.8953,0.8956
60_60,0.9238,0.9133,0.9059,0.9283,0.9156,0.9041,0.9006,0.9029,0.9004
90_90,0.93,0.916,0.9047,0.9266,0.9253,0.903,0.9065,0.9066,0.9113
200_200,0.9383,0.9271,0.9131,0.9326,0.9346,0.9108,0.9159,0.9163,0.9148
30_60,0.9161,0.9074,0.8917,0.9201,0.9046,0.9031,0.9002,0.907,0.8901
60_30,0.9136,0.9082,0.8977,0.9041,0.9243,0.8987,0.9023,0.8917,0.9026
30_90,0.9132,0.9104,0.8867,0.9212,0.9055,0.903,0.8954,0.9071,0.8854
90_30,0.9133,0.9022,0.8863,0.899,0.9222,0.8952,0.9057,0.8911,0.9097
30_200,0.9094,0.9056,0.8844,0.9231,0.8974,0.9145,0.8965,0.9156,0.8743
200_30,0.9126,0.9052,0.8803,0.8988,0.9227,0.8879,0.9149,0.8843,0.91
16_30,0.8929,0.8978,0.893,0.9094,0.8878,0.8944,0.9029,0.8953,0.8772
30_16,0.8975,0.8974,0.8921,0.8841,0.9116,0.8947,0.8981,0.8805,0.9014
16_60,0.8901,0.8909,0.8837,0.9167,0.8787,0.901,0.8975,0.9053,0.8714
60_16,0.8873,0.8898,0.887,0.8775,0.9142,0.8891,0.9025,0.8726,0.907
16_90,0.8812,0.8849,0.8759,0.9197,0.8804,0.9032,0.8874,0.9006,0.873
90_16,0.8814,0.8838,0.8829,0.8756,0.9124,0.8818,0.9009,0.8777,0.9033
16_200,0.8728,0.889,0.8711,0.9082,0.8736,0.9014,0.8852,0.9025,0.8769
200_16,0.8742,0.8782,0.8685,0.8721,0.9038,0.881,0.9097,0.8773,0.8993

student
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.9087,0.8933,0.8161,0.9011,0.8989,0.865,0.8741,0.8528,0.8469
30_30,0.9318,0.9134,0.8636,0.9214,0.9244,0.8781,0.8804,0.8761,0.8784
60_60,0.9344,0.9305,0.9041,0.9376,0.9272,0.9044,0.904,0.9078,0.9035
90_90,0.9407,0.9309,0.9159,0.9383,0.9347,0.911,0.9148,0.9171,0.9189
200_200,0.9425,0.9352,0.9306,0.943,0.9406,0.9224,0.9263,0.9281,0.9299
30_60,0.9346,0.9204,0.873,0.932,0.9278,0.9054,0.8853,0.9083,0.8779
60_30,0.9329,0.9257,0.8804,0.9255,0.9349,0.878,0.9052,0.878,0.9003
30_90,0.9318,0.9294,0.8831,0.9311,0.9304,0.9109,0.8753,0.9104,0.8816
90_30,0.9337,0.922,0.8787,0.9277,0.9332,0.8789,0.9143,0.8816,0.912
30_200,0.9339,0.9272,0.8827,0.936,0.924,0.9242,0.8807,0.9251,0.8699
200_30,0.9359,0.9238,0.877,0.9277,0.9359,0.8745,0.9293,0.8777,0.9192
16_30,0.9159,0.8979,0.8431,0.9178,0.9098,0.8716,0.8788,0.8654,0.8504
30_16,0.9262,0.9002,0.8422,0.9073,0.9212,0.8692,0.8756,0.8526,0.8697
16_60,0.9148,0.9071,0.8495,0.924,0.9135,0.9014,0.8751,0.8948,0.8633
60_16,0.9192,0.9074,0.8566,0.9098,0.9215,0.8675,0.9008,0.8594,0.8942
16_90,0.9208,0.9025,0.8578,0.9273,0.9122,0.9089,0.8687,0.8992,0.8722
90_16,0.9221,0.9069,0.8615,0.9079,0.9219,0.8698,0.91,0.8657,0.8985
16_200,0.9221,0.9164,0.8612,0.9237,0.9082,0.9143,0.8719,0.9064,0.8682
200_16,0.9255,0.9062,0.8592,0.9101,0.9191,0.8718,0.9192,0.8684,0.904

