Coverage probabilities:

norm
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8874,0.8502,0.7798,0.8255,0.8234,0.6446,0.6303,0.6958,0.6933
30_30,0.9165,0.8713,0.786,0.844,0.8493,0.6574,0.6639,0.7193,0.7049
60_60,0.9242,0.8917,0.8154,0.873,0.8755,0.7035,0.6966,0.7401,0.7444
90_90,0.9365,0.9076,0.8355,0.8841,0.8852,0.7252,0.7255,0.7681,0.7681
200_200,0.9403,0.9284,0.8787,0.9077,0.9127,0.7764,0.7711,0.8013,0.8077
30_60,0.9126,0.8803,0.7803,0.881,0.8485,0.7083,0.6612,0.766,0.6915
60_30,0.9148,0.8771,0.7928,0.8458,0.8809,0.6626,0.7006,0.6859,0.7655
30_90,0.9141,0.8794,0.7813,0.8952,0.8427,0.733,0.663,0.7996,0.6902
90_30,0.9161,0.8747,0.7957,0.8408,0.891,0.6594,0.7305,0.6839,0.7987
30_200,0.9056,0.8708,0.7723,0.9186,0.8401,0.7947,0.667,0.8554,0.6722
200_30,0.911,0.8622,0.7692,0.8409,0.9148,0.6558,0.792,0.663,0.844
16_30,0.893,0.8485,0.78,0.8544,0.8212,0.663,0.6393,0.7407,0.6879
30_16,0.8982,0.8574,0.7752,0.8215,0.8516,0.6319,0.6738,0.6838,0.7386
16_60,0.8917,0.8511,0.7678,0.8838,0.821,0.7067,0.6411,0.7839,0.6729
60_16,0.8897,0.8553,0.7633,0.824,0.8748,0.635,0.7137,0.6595,0.7823
16_90,0.8955,0.8584,0.7478,0.8952,0.8178,0.7389,0.6333,0.8063,0.6658
90_16,0.8834,0.8451,0.7624,0.8162,0.8903,0.6363,0.7403,0.6576,0.8091
16_200,0.8804,0.8391,0.7369,0.9053,0.8146,0.802,0.6443,0.8582,0.6484
200_16,0.8803,0.8398,0.7269,0.8213,0.9008,0.6392,0.7922,0.6463,0.8601

basic
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8781,0.8162,0.7356,0.7998,0.7945,0.6148,0.6006,0.6615,0.6586
30_30,0.9119,0.8486,0.731,0.8283,0.8337,0.6232,0.6289,0.6813,0.6677
60_60,0.9238,0.881,0.7645,0.867,0.8679,0.6728,0.6709,0.7105,0.7178
90_90,0.9372,0.9024,0.7941,0.8806,0.8804,0.701,0.6985,0.7438,0.7443
200_200,0.9415,0.9297,0.8597,0.9057,0.9116,0.7607,0.7576,0.7912,0.7973
30_60,0.9113,0.8624,0.7364,0.8738,0.8303,0.6786,0.624,0.7356,0.6541
60_30,0.9116,0.86,0.7384,0.8276,0.8732,0.6265,0.6691,0.6531,0.7282
30_90,0.9118,0.8629,0.7348,0.8917,0.8211,0.7083,0.625,0.7699,0.6555
90_30,0.9132,0.8583,0.7471,0.8245,0.8881,0.6241,0.7065,0.6484,0.7683
30_200,0.9049,0.8536,0.7347,0.916,0.8188,0.7798,0.6313,0.836,0.637
200_30,0.9088,0.8462,0.7305,0.8232,0.9131,0.6186,0.776,0.6254,0.8228
16_30,0.8871,0.8224,0.7259,0.8367,0.797,0.627,0.6026,0.6991,0.6522
30_16,0.892,0.8291,0.7263,0.7934,0.834,0.596,0.6356,0.6486,0.6951
16_60,0.8822,0.8276,0.7211,0.8729,0.7918,0.6759,0.6119,0.7456,0.6407
60_16,0.8829,0.8288,0.7229,0.8012,0.8638,0.603,0.6855,0.6253,0.7463
16_90,0.8878,0.8346,0.7035,0.8873,0.7868,0.7127,0.6018,0.7701,0.6322
90_16,0.8759,0.8168,0.7227,0.7929,0.8836,0.6045,0.717,0.6266,0.7709
16_200,0.8748,0.8128,0.7019,0.8983,0.7866,0.7878,0.6031,0.8301,0.6146
200_16,0.8703,0.8144,0.6921,0.7894,0.8961,0.6,0.7791,0.6152,0.8345

perc
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.9261,0.9355,0.9431,0.8248,0.8254,0.5803,0.5756,0.7168,0.7176
30_30,0.9351,0.9289,0.9254,0.8439,0.8493,0.6075,0.6201,0.7347,0.7225
60_60,0.9353,0.9278,0.9203,0.8696,0.8727,0.6656,0.6648,0.7452,0.7482
90_90,0.9431,0.9296,0.9205,0.882,0.8828,0.6995,0.6928,0.7679,0.7668
200_200,0.9436,0.9365,0.926,0.9034,0.9072,0.7552,0.7545,0.7983,0.8047
30_60,0.9253,0.9166,0.8952,0.8953,0.8258,0.6764,0.6056,0.8063,0.6646
60_30,0.9248,0.9083,0.9005,0.8249,0.8948,0.6057,0.6783,0.6671,0.8083
30_90,0.9159,0.8983,0.8628,0.916,0.8188,0.7191,0.6004,0.8498,0.6586
90_30,0.9167,0.8974,0.8708,0.8171,0.912,0.5987,0.7199,0.6418,0.8479
30_200,0.8966,0.8675,0.7961,0.9349,0.8071,0.795,0.5965,0.9068,0.6196
200_30,0.8986,0.8627,0.7961,0.8054,0.9322,0.5871,0.7948,0.6119,0.9018
16_30,0.917,0.9112,0.9125,0.8783,0.7982,0.6312,0.553,0.8012,0.6677
30_16,0.9206,0.9143,0.9116,0.7919,0.8784,0.5585,0.6437,0.6584,0.7959
16_60,0.8891,0.8687,0.8468,0.9189,0.7771,0.6993,0.5537,0.8673,0.6168
60_16,0.8894,0.8757,0.8481,0.7841,0.9145,0.546,0.7067,0.6039,0.8678
16_90,0.8788,0.8544,0.7944,0.9287,0.7624,0.7443,0.5468,0.8963,0.5974
90_16,0.8726,0.8472,0.8084,0.7715,0.9264,0.5523,0.746,0.5854,0.9014
16_200,0.8472,0.8088,0.7265,0.9284,0.7613,0.8268,0.5524,0.9282,0.5643
200_16,0.8501,0.8093,0.7152,0.7613,0.9257,0.5473,0.8168,0.567,0.9314

bca
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8886,0.883,0.8405,0.8426,0.8437,0.6747,0.663,0.7206,0.7211
30_30,0.9097,0.8783,0.8455,0.8601,0.8627,0.6851,0.694,0.7457,0.7301
60_60,0.9135,0.8809,0.8448,0.8791,0.8797,0.7407,0.733,0.7614,0.7628
90_90,0.9269,0.8861,0.851,0.8887,0.8913,0.7623,0.7626,0.7846,0.7834
200_200,0.9353,0.9063,0.8598,0.9067,0.9168,0.8085,0.8072,0.8137,0.8212
30_60,0.9062,0.8745,0.8212,0.889,0.8532,0.7457,0.6891,0.8033,0.6907
60_30,0.9051,0.8719,0.8249,0.8517,0.891,0.6881,0.7405,0.6897,0.803
30_90,0.9063,0.8684,0.7935,0.9008,0.8448,0.7717,0.6851,0.8394,0.6855
90_30,0.9053,0.8662,0.8076,0.8451,0.8947,0.6821,0.7686,0.6759,0.8351
30_200,0.8992,0.8545,0.7546,0.9118,0.8392,0.8235,0.676,0.8771,0.661
200_30,0.9004,0.8503,0.7513,0.839,0.9087,0.665,0.8255,0.6506,0.8698
16_30,0.8911,0.8618,0.8263,0.875,0.8288,0.6989,0.66,0.7835,0.6909
30_16,0.8917,0.8707,0.8258,0.8279,0.8739,0.6525,0.705,0.6841,0.7827
16_60,0.879,0.8415,0.7854,0.8947,0.8143,0.7442,0.6537,0.8381,0.6561
60_16,0.879,0.8489,0.7856,0.817,0.8887,0.6484,0.7572,0.6423,0.8312
16_90,0.8819,0.8409,0.7374,0.9004,0.8069,0.7773,0.6439,0.8535,0.6437
90_16,0.8731,0.8331,0.7581,0.8091,0.8957,0.6486,0.7793,0.6343,0.8557
16_200,0.8681,0.8129,0.7023,0.8995,0.8099,0.8349,0.6509,0.8774,0.6338
200_16,0.866,0.8161,0.6911,0.8119,0.8956,0.6417,0.8262,0.63,0.8794

student
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.9075,0.8484,0.7072,0.8586,0.8556,0.7021,0.6878,0.7035,0.7012
30_30,0.9303,0.8889,0.7599,0.8839,0.8834,0.7219,0.7226,0.7442,0.7353
60_60,0.9311,0.9059,0.8328,0.9032,0.9048,0.7793,0.7762,0.7907,0.7936
90_90,0.9417,0.9182,0.8644,0.9083,0.9111,0.8102,0.8117,0.8238,0.8207
200_200,0.9405,0.9257,0.8962,0.9257,0.9323,0.8527,0.8524,0.8544,0.8603
30_60,0.9272,0.8977,0.7798,0.9071,0.8923,0.7816,0.7237,0.804,0.7284
60_30,0.9293,0.8961,0.7894,0.89,0.9075,0.7262,0.7744,0.7232,0.798
30_90,0.9251,0.8964,0.7906,0.9152,0.8849,0.8097,0.7223,0.8399,0.7263
90_30,0.9304,0.8926,0.7988,0.8924,0.9101,0.7236,0.807,0.727,0.833
30_200,0.9301,0.8934,0.7795,0.9248,0.8891,0.851,0.728,0.88,0.7187
200_30,0.9319,0.8858,0.7713,0.8905,0.9224,0.7189,0.8547,0.7114,0.8702
16_30,0.9132,0.8588,0.7311,0.8878,0.8641,0.7101,0.6999,0.7489,0.7133
30_16,0.9182,0.8661,0.7278,0.8656,0.8842,0.6894,0.7225,0.7058,0.7425
16_60,0.9149,0.8666,0.7465,0.9026,0.864,0.7747,0.7036,0.8068,0.7056
60_16,0.9118,0.868,0.7489,0.8748,0.8978,0.7025,0.7846,0.7004,0.8002
16_90,0.9223,0.8708,0.738,0.9117,0.8707,0.8053,0.7019,0.8248,0.7064
90_16,0.9145,0.8631,0.7528,0.8737,0.9058,0.7085,0.8068,0.6968,0.8261
16_200,0.9177,0.8608,0.7389,0.914,0.8727,0.8559,0.6996,0.8665,0.6903
200_16,0.9157,0.8667,0.7259,0.8733,0.9127,0.7006,0.8499,0.7021,0.8679

