Coverage probabilities:

norm
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.9016,0.9435,0.9969,0.9084,0.8992,0.8926,0.8881,0.9173,0.9154
30_30,0.9186,0.9424,0.9969,0.9238,0.9224,0.9183,0.9201,0.9354,0.9278
60_60,0.9331,0.9476,0.9854,0.936,0.9331,0.9353,0.934,0.944,0.9456
90_90,0.9402,0.9492,0.9766,0.9421,0.9445,0.9411,0.9412,0.947,0.9491
200_200,0.948,0.9491,0.9624,0.9448,0.9461,0.9467,0.9466,0.9492,0.9539
30_60,0.9232,0.9414,0.9769,0.9368,0.9245,0.9348,0.9143,0.9538,0.925
60_30,0.9223,0.9393,0.9815,0.9255,0.9351,0.9147,0.9353,0.9231,0.9497
30_90,0.9235,0.9411,0.9593,0.9348,0.9199,0.9405,0.9174,0.9543,0.9259
90_30,0.9265,0.9418,0.9614,0.9201,0.9385,0.9114,0.9421,0.9194,0.9593
30_200,0.9181,0.9292,0.9362,0.9405,0.919,0.9483,0.9105,0.9607,0.9087
200_30,0.9244,0.9326,0.9364,0.9184,0.9381,0.9155,0.9465,0.9175,0.9555
16_30,0.9074,0.9376,0.9924,0.9202,0.8957,0.9109,0.8877,0.9451,0.9035
30_16,0.9096,0.9366,0.9925,0.8983,0.9284,0.8876,0.9134,0.9004,0.9367
16_60,0.9047,0.9223,0.9569,0.9301,0.9002,0.9265,0.891,0.9626,0.8923
60_16,0.9047,0.9245,0.957,0.9003,0.9291,0.8902,0.9325,0.8982,0.9617
16_90,0.8991,0.9161,0.9321,0.9328,0.9007,0.9433,0.8911,0.9658,0.8945
90_16,0.9014,0.9197,0.9335,0.8986,0.9292,0.8895,0.9391,0.8986,0.966
16_200,0.8909,0.9078,0.9062,0.9248,0.8965,0.9432,0.8924,0.9492,0.8956
200_16,0.8944,0.9111,0.9134,0.9003,0.9277,0.8904,0.9461,0.8924,0.9446

basic
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.9005,0.9564,0.998,0.9093,0.9018,0.8725,0.8654,0.9089,0.9079
30_30,0.9196,0.9541,0.9984,0.9246,0.9216,0.8946,0.8979,0.9268,0.9178
60_60,0.9347,0.9535,0.9943,0.9352,0.9329,0.9212,0.9133,0.9333,0.9358
90_90,0.9422,0.9531,0.9878,0.9422,0.9436,0.9263,0.9252,0.9381,0.9405
200_200,0.949,0.9526,0.9724,0.9452,0.9472,0.9402,0.938,0.9464,0.9485
30_60,0.9243,0.9491,0.9892,0.9386,0.9253,0.9156,0.8936,0.9513,0.9088
60_30,0.9225,0.947,0.9919,0.9252,0.9381,0.8922,0.9179,0.9077,0.9477
30_90,0.9251,0.9459,0.9692,0.9358,0.9208,0.9244,0.8945,0.9568,0.9067
90_30,0.927,0.9467,0.9686,0.9171,0.9393,0.8882,0.9283,0.8998,0.9607
30_200,0.9199,0.931,0.9298,0.9427,0.9188,0.9435,0.8881,0.9676,0.8886
200_30,0.924,0.9345,0.9312,0.9162,0.9401,0.8951,0.9431,0.8942,0.9651
16_30,0.9059,0.9466,0.9969,0.9201,0.898,0.8895,0.8645,0.9413,0.8886
30_16,0.9082,0.9478,0.9971,0.9002,0.9289,0.8652,0.8925,0.8866,0.9331
16_60,0.9043,0.9287,0.97,0.9321,0.9014,0.9096,0.8658,0.963,0.8731
60_16,0.904,0.9329,0.9712,0.9036,0.9319,0.8674,0.9155,0.8793,0.9631
16_90,0.9002,0.9198,0.9378,0.9336,0.9017,0.9309,0.8678,0.9738,0.8758
90_16,0.9016,0.9247,0.9395,0.9001,0.9312,0.8693,0.9259,0.8765,0.9716
16_200,0.8906,0.9098,0.8948,0.9252,0.8987,0.9377,0.8657,0.9607,0.8711
200_16,0.894,0.9126,0.9047,0.9,0.9306,0.8653,0.9427,0.8697,0.9579

perc
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.9263,0.9285,0.946,0.8969,0.8861,0.9033,0.8984,0.9155,0.9164
30_30,0.9284,0.9305,0.9331,0.9146,0.9125,0.9174,0.9217,0.926,0.9226
60_60,0.9378,0.9397,0.939,0.9321,0.9283,0.9317,0.9282,0.9356,0.9353
90_90,0.9427,0.9448,0.9455,0.9388,0.94,0.938,0.9372,0.9405,0.9412
200_200,0.9494,0.9473,0.9476,0.9438,0.9458,0.9418,0.9403,0.9436,0.9496
30_60,0.9236,0.9279,0.9246,0.9382,0.9117,0.9319,0.9141,0.9436,0.9236
60_30,0.9243,0.9299,0.936,0.9102,0.9348,0.9134,0.9323,0.9187,0.9381
30_90,0.9213,0.927,0.9238,0.9373,0.9023,0.9378,0.9183,0.9423,0.9213
90_30,0.9231,0.9302,0.9281,0.9017,0.9421,0.9096,0.9405,0.9175,0.9447
30_200,0.9074,0.9121,0.9203,0.9428,0.898,0.9475,0.9112,0.9432,0.9089
200_30,0.9086,0.9162,0.9222,0.9017,0.9375,0.9148,0.9488,0.9167,0.9379
16_30,0.9178,0.9185,0.934,0.9214,0.8678,0.9177,0.8926,0.9304,0.9047
30_16,0.9186,0.9168,0.9347,0.8722,0.9277,0.8921,0.9175,0.9017,0.9234
16_60,0.8968,0.8967,0.919,0.9341,0.8687,0.9289,0.8927,0.9379,0.8923
60_16,0.8978,0.8982,0.9195,0.8671,0.9346,0.8953,0.931,0.902,0.9321
16_90,0.8787,0.8871,0.9096,0.9358,0.8647,0.9419,0.8942,0.9376,0.8965
90_16,0.8839,0.8909,0.9099,0.8591,0.9371,0.893,0.9357,0.9003,0.9338
16_200,0.8607,0.8718,0.9002,0.9211,0.8585,0.945,0.8934,0.9209,0.8962
200_16,0.8623,0.878,0.9058,0.8598,0.9197,0.893,0.9474,0.8933,0.9145

bca
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.8902,0.8886,0.9073,0.895,0.882,0.9326,0.9277,0.9141,0.9096
30_30,0.9066,0.9065,0.9031,0.9148,0.9148,0.9324,0.9329,0.9219,0.9189
60_60,0.925,0.9253,0.9213,0.93,0.9285,0.9436,0.9351,0.9327,0.9302
90_90,0.9337,0.9345,0.9332,0.9395,0.941,0.9435,0.9409,0.9392,0.9397
200_200,0.944,0.9427,0.9417,0.943,0.9448,0.9439,0.9436,0.9439,0.9467
