NAs matrix:

norm
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0,0,0,0,0,0,0,0,0
30_30,0,0,0,0,0,0,0,0,0
60_60,0,0,0,0,0,0,0,0,0
90_90,0,0,0,0,0,0,0,0,0
200_200,0,0,0,0,0,0,0,0,0
30_60,0,0,0,0,0,0,0,0,0
60_30,0,0,0,0,0,0,0,0,0
30_90,0,0,0,0,0,0,0,0,0
90_30,0,0,0,0,0,0,0,0,0
30_200,0,0,0,0,0,0,0,0,0
200_30,0,0,0,0,0,0,0,0,0
16_30,0,0,0,0,0,0,0,0,0
30_16,0,0,0,0,0,0,0,0,0
16_60,0,0,0,0,0,0,0,0,0
60_16,0,0,0,0,0,0,0,0,0
16_90,0,0,0,0,0,0,0,0,0
90_16,0,0,0,0,0,0,0,0,0
16_200,0,0,0,0,0,0,0,0,0
200_16,0,0,0,0,0,0,0,0,0

basic
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0,0,0,0,0,0,0,0,0
30_30,0,0,0,0,0,0,0,0,0
60_60,0,0,0,0,0,0,0,0,0
90_90,0,0,0,0,0,0,0,0,0
200_200,0,0,0,0,0,0,0,0,0
30_60,0,0,0,0,0,0,0,0,0
60_30,0,0,0,0,0,0,0,0,0
30_90,0,0,0,0,0,0,0,0,0
90_30,0,0,0,0,0,0,0,0,0
30_200,0,0,0,0,0,0,0,0,0
200_30,0,0,0,0,0,0,0,0,0
16_30,0,0,0,0,0,0,0,0,0
30_16,0,0,0,0,0,0,0,0,0
16_60,0,0,0,0,0,0,0,0,0
60_16,0,0,0,0,0,0,0,0,0
16_90,0,0,0,0,0,0,0,0,0
90_16,0,0,0,0,0,0,0,0,0
16_200,0,0,0,0,0,0,0,0,0
200_16,0,0,0,0,0,0,0,0,0

perc
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0,0,0,0,0,0,0,0,0
30_30,0,0,0,0,0,0,0,0,0
60_60,0,0,0,0,0,0,0,0,0
90_90,0,0,0,0,0,0,0,0,0
200_200,0,0,0,0,0,0,0,0,0
30_60,0,0,0,0,0,0,0,0,0
60_30,0,0,0,0,0,0,0,0,0
30_90,0,0,0,0,0,0,0,0,0
90_30,0,0,0,0,0,0,0,0,0
30_200,0,0,0,0,0,0,0,0,0
200_30,0,0,0,0,0,0,0,0,0
16_30,0,0,0,0,0,0,0,0,0
30_16,0,0,0,0,0,0,0,0,0
16_60,0,0,0,0,0,0,0,0,0
60_16,0,0,0,0,0,0,0,0,0
16_90,0,0,0,0,0,0,0,0,0
90_16,0,0,0,0,0,0,0,0,0
16_200,0,0,0,0,0,0,0,0,0
200_16,0,0,0,0,0,0,0,0,0

bca
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0,0,0,0,0,0,0,0,0
30_30,0,0,0,0,0,0,0,0,0
60_60,0,0,0,0,0,0,0,0,0
90_90,0,0,0,0,0,0,0,0,0
200_200,0,0,0,0,0,0,0,0,0
30_60,0,0,0,0,0,0,0,0,0
60_30,0,0,0,0,0,0,0,0,0
30_90,0,0,0,0,0,0,0,0,0
90_30,0,0,0,0,0,0,0,0,0
30_200,0,0,0,0,0,0,0,0,0
200_30,0,0,0,0,0,0,0,0,0
16_30,0,0,0,0,0,0,0,0,0
30_16,0,0,0,0,0,0,0,0,0
16_60,0,0,0,0,0,0,0,0,0
60_16,0,0,0,0,0,0,0,0,0
16_90,0,0,0,0,0,0,0,0,0
90_16,0,0,0,0,0,0,0,0,0
16_200,0,0,0,0,0,0,0,0,0
200_16,0,0,0,0,0,0,0,0,0

student
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0,0,0,0,0,0,0,0,0
30_30,0,0,0,0,0,0,0,0,0
60_60,0,0,0,0,0,0,0,0,0
90_90,0,0,0,0,0,0,0,0,0
200_200,0,0,0,0,0,0,0,0,0
30_60,0,0,0,0,0,0,0,0,0
60_30,0,0,0,0,0,0,0,0,0
30_90,0,0,0,0,0,0,0,0,0
90_30,0,0,0,0,0,0,0,0,0
30_200,0,0,0,0,0,0,0,0,0
200_30,0,0,0,0,0,0,0,0,0
16_30,0,0,0,0,0,0,0,0,0
30_16,0,0,0,0,0,0,0,0,0
16_60,0,0,0,0,0,0,0,0,0
60_16,0,0,0,0,0,0,0,0,0
16_90,0,0,0,0,0,0,0,0,0
90_16,0,0,0,0,0,0,0,0,0
16_200,0,0,0,0,0,0,0,0,0
200_16,0,0,0,0,0,0,0,0,0

