Skew matrix:

norm
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,1.02053388090349,0.948275862068966,1.06666666666667,0.099639855942377,9.28571428571429,0,NA,0,NA
30_30,0.94272076372315,0.986206896551724,2.1,0.172307692307692,7.43478260869565,0,NA,0,NA
60_60,1.09717868338558,0.878136200716846,1.08571428571429,0.237911025145068,4.6218487394958,0,NA,0.00178890876565295,543
90_90,0.993333333333333,0.895522388059702,0.872,0.278145695364238,3.74358974358974,0.00683760683760684,116.6,0.017274472168906,83.8333333333333
200_200,0.857142857142857,1.00393700787402,0.908629441624365,0.4375,2.09770114942529,0.156182212581345,8.88888888888889,0.162471395881007,6.203125
30_60,1.63917525773196,2.59509202453988,230,0.308488612836439,7.57954545454545,0,NA,0.0065359477124183,NA
60_30,0.592213114754098,0.389016018306636,0.0335195530726257,0.121987951807229,3.24183006535948,0,NA,0,82.8333333333333
30_90,1.87593984962406,3.23741007194245,NA,0.439293598233996,7.70652173913043,0.00847457627118644,NA,0.0906921241050119,NA
90_30,0.601307189542484,0.322727272727273,0.0025974025974026,0.119047619047619,2.15384615384615,0,143.75,0,13.5357142857143
30_200,2.10227272727273,4.94957983193277,637,0.786786786786787,7.35051546391753,0.193995381062356,NA,0.67948717948718,NA
200_30,0.354838709677419,0.205724508050089,0,0.0953020134228188,1.14186851211073,0,6.64285714285714,0,1.34210526315789
16_30,1.40519480519481,2.80487804878049,24.3333333333333,0.203619909502262,9.22549019607843,0,NA,0,NA
30_16,0.62589928057554,0.346072186836518,0.0273972602739726,0.088865096359743,4.50769230769231,0,NA,0,NA
16_60,2.23050847457627,5.9375,430,0.441237113402062,12.1315789473684,0.00272851296043656,NA,0.0417827298050139,NA
60_16,0.500787401574803,0.200317965023847,0,0.075512405609493,2.45853658536585,0,NA,0.000983284169124877,21.5294117647059
16_90,2.60357142857143,7.06730769230769,NA,0.684210526315789,11.5696202531646,0.0106951871657754,NA,0.346456692913386,NA
90_16,0.412607449856734,0.130985915492958,0.00150602409638554,0.0787234042553192,1.55595667870036,0,100.5,0,3.53333333333333
16_200,2.89642857142857,12.3623188405797,NA,1.23809523809524,11.4698795180723,0.188284518828452,NA,2.07878787878788,NA
200_16,0.308550185873606,0.0828258221680877,0,0.0708915145005371,0.877922077922078,0,5.0561797752809,0,0.481283422459893

basic
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,1.04732510288066,0.946428571428571,0.818181818181818,0.0683156654888104,14.34375,0,NA,0,NA
30_30,0.946731234866828,0.987012987012987,2.2,0.105571847507331,12.0666666666667,0,NA,0,NA
60_60,1.05345911949686,0.86,0.838709677419355,0.146902654867257,6.71264367816092,0,NA,0,NA
90_90,0.986254295532646,0.90650406504065,0.90625,0.18200408997955,5.33707865168539,0,NA,0,NA
200_200,0.875,1.04310344827586,0.852348993288591,0.333333333333333,2.88235294117647,0.0310344827586207,31.6315789473684,0.0530451866404715,15.6129032258065
30_60,1.65614035087719,3.17213114754098,107,0.218253968253968,14.5625,0,NA,0,NA
60_30,0.597938144329897,0.283292978208232,0.0253164556962025,0.0670470756062767,5.12871287128713,0,NA,0,NA
30_90,1.91439688715953,4.63541666666667,NA,0.326446280991736,15.8510638297872,0,NA,0.023696682464455,NA
90_30,0.607929515418502,0.222477064220183,0,0.0669240669240669,3.0738255033557,0,716,0,38.3
30_200,2.04562737642586,7.84615384615385,NA,0.690265486725664,14.6153846153846,0.0700757575757576,NA,0.472727272727273,NA
200_30,0.366906474820144,0.13126079447323,0,0.0567465321563682,1.31274131274131,0,22.7083333333333,0,1.9327731092437
16_30,1.33498759305211,3.04545454545455,30,0.13012729844413,16,0,NA,0,1113
30_16,0.722326454033771,0.288888888888889,0,0.0549682875264271,7.26744186046512,0.000742390497401633,NA,0,NA
16_60,1.90881458966565,7.80246913580247,299,0.321011673151751,20.9111111111111,0,NA,0.00543478260869565,NA
60_16,0.584158415841584,0.13728813559322,0,0.0489662676822633,3.86428571428571,0,NA,0.000829187396351575,122
16_90,2.14826498422713,9.28205128205128,NA,0.526436781609195,22.9756097560976,0,NA,0.110169491525424,NA
90_16,0.47085201793722,0.085014409221902,0,0.0571428571428571,2.00436681222707,0,369.5,0,15.7058823529412
16_200,2.4294670846395,17.7916666666667,NA,1.02710027100271,21.5111111111111,0.0797227036395147,NA,2.0703125,NA
200_16,0.392904073587385,0.0632603406326034,0,0.0515247108307045,1.02923976608187,0,12.0227272727273,0.000768049155145929,0.461805555555556

perc
0.2_0.2,0.5_0.5,1_1,0.2_0.5,0.5_0.2,0.2_1,1_0.2,0.5_1,1_0.5
16_16,0.981182795698925,1.04285714285714,1.01492537313433,0.112189859762675,8.90434782608696,0.00729166666666667,111.888888888889,0.0419235511713933,22.2222222222222
30_30,0.945652173913043,0.98005698005698,1.16504854368932,0.214793741109531,5.57894736842105,0.181688125894134,5.21428571428571,0.323792486583184,4.3013698630137
60_60,1.1156462585034,0.932692307692308,1.00657894736842,0.271535580524345,3.50943396226415,0.333984375,3.03370786516854,0.447191011235955,2.15609756097561
90_90,0.975862068965517,0.9644128113879,0.939501779359431,0.321814254859611,2.72670807453416,0.399548532731377,2.34042553191489,0.426858513189448,2
200_200,0.909433962264151,0.916363636363636,0.947955390334573,0.49468085106383,1.86772486772487,0.630252100840336,2.09326424870466,0.553719008264463,1.54545454545455
30_60,2.89795918367347,2.93989071038251,2.38116591928251,0.464454976303318,7.49038461538461,0.364729458917836,6.60176991150442,0.579831932773109,4.83206106870229
60_30,0.298456260720412,0.332699619771863,0.467889908256881,0.129559748427673,2.00460829493088,0.150066401062417,2.93604651162791,0.195588235294118,1.64529914529915
30_90,5.05384615384615,3.80263157894737,2.92783505154639,0.806916426512968,7.64601769911504,0.416856492027335,6.36036036036036,0.867313915857605,4.24666666666667
90_30,0.24232633279483,0.278388278388278,0.297833935018051,0.123428571428571,1.19318181818182,0.169469598965071,2.1989247311828,0.188760806916427,1.05576208178439
30_200,6.59016393442623,5.19014084507042,4.49655172413793,1.93333333333333,8.62264150943396,0.822916666666667,6.52542372881356,2.07027027027027,6.65546218487395
200_30,0.107878787878788,0.173669467787115,0.208074534161491,0.0910099889012209,0.477541371158392,0.154471544715447,1.18803418803419,0.156944444444444,0.529556650246305
16_30,3.39572192513369,3.63068181818182,4.89285714285714,0.307820299500832,11.2407407407407,0.175714285714286,133.25,0.496774193548387,58.5625
30_16,0.262015503875969,0.3,0.229755178907721,0.0721476510067114,2.765625,0.00465549348230913,4.93525179856115,0.0165460186142709,2.20502092050209
